suite,case,family,strategy,repeat,config_name,config,raw_outcome,final_classification,stop_reason,truncation,saw_unknown,root_outcome,proposals,unique_programs,verification_calls,cache_hits,states_explored,nodes,patch_len,accepted_chain_len,exit_code,wall_ms,replay_exit,replay_wall_ms,replay_ok,model_sha256,contract_sha256,binary_sha256,source_id,artifact_path,reused_from_previous
smoke,already_correct,smoke_dev,a,1,smoke,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",already_satisfied,already_satisfied,already-satisfied,,False,PASS,0,1,1,0,39,1,0,0,0,7,0,3,True,63c2c0c459dedd1504f29310d782afa36b26ba58040e55fb376ee8eff409a392,5bdfd94df3f343d43168df84191f4578f2c8115231068cca32b385acb7e4c90c,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/smoke/already_correct__smoke__a__r1/artifact.json,False
smoke,already_correct,smoke_dev,b,1,smoke,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",already_satisfied,already_satisfied,already-satisfied,,False,PASS,0,1,1,0,39,1,0,0,0,7,0,3,True,63c2c0c459dedd1504f29310d782afa36b26ba58040e55fb376ee8eff409a392,5bdfd94df3f343d43168df84191f4578f2c8115231068cca32b385acb7e4c90c,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/smoke/already_correct__smoke__b__r1/artifact.json,False
smoke,already_correct,smoke_dev,c,1,smoke,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",already_satisfied,already_satisfied,already-satisfied,,False,PASS,0,1,1,0,39,1,0,0,0,7,0,3,True,63c2c0c459dedd1504f29310d782afa36b26ba58040e55fb376ee8eff409a392,5bdfd94df3f343d43168df84191f4578f2c8115231068cca32b385acb7e4c90c,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/smoke/already_correct__smoke__c__r1/artifact.json,False
smoke,single_cycle,smoke_dev,a,1,smoke,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",repaired,repaired,solved,,False,FAIL,1,2,2,0,92,2,1,1,0,8,0,4,True,9674ddc7261cc7116ba6a06b2bc0a9b0272339dfbdeb1bf886a05382d5205141,5bdfd94df3f343d43168df84191f4578f2c8115231068cca32b385acb7e4c90c,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/smoke/single_cycle__smoke__a__r1/artifact.json,False
smoke,single_cycle,smoke_dev,b,1,smoke,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",repaired,repaired,solved,,False,FAIL,1,2,2,0,92,2,1,1,0,8,0,4,True,9674ddc7261cc7116ba6a06b2bc0a9b0272339dfbdeb1bf886a05382d5205141,5bdfd94df3f343d43168df84191f4578f2c8115231068cca32b385acb7e4c90c,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/smoke/single_cycle__smoke__b__r1/artifact.json,False
smoke,single_cycle,smoke_dev,c,1,smoke,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",repaired,repaired,solved,,False,FAIL,1,2,2,0,92,2,1,1,0,8,0,4,True,9674ddc7261cc7116ba6a06b2bc0a9b0272339dfbdeb1bf886a05382d5205141,5bdfd94df3f343d43168df84191f4578f2c8115231068cca32b385acb7e4c90c,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/smoke/single_cycle__smoke__c__r1/artifact.json,False
smoke,two_cycles,smoke_dev,a,1,smoke,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",no_acceptable_candidate,no_acceptable_candidate,no-acceptable-candidate,,False,FAIL,4,5,5,0,9927,5,0,0,1,232,0,277,True,9d43e80c423b713db3df0261337c698f9ff59312f25f3160bd700a6a698694ed,54be59bd1274fbec6add210ea8c748c528b8e07951434cd3d4c7cd549879689b,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/smoke/two_cycles__smoke__a__r1/artifact.json,False
smoke,two_cycles,smoke_dev,b,1,smoke,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",repaired,repaired,solved,,False,FAIL,7,7,7,1,13445,7,2,2,0,312,0,393,True,9d43e80c423b713db3df0261337c698f9ff59312f25f3160bd700a6a698694ed,54be59bd1274fbec6add210ea8c748c528b8e07951434cd3d4c7cd549879689b,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/smoke/two_cycles__smoke__b__r1/artifact.json,False
smoke,two_cycles,smoke_dev,c,1,smoke,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",repaired,repaired,solved,,False,FAIL,5,6,6,0,11610,6,2,2,0,270,0,349,True,9d43e80c423b713db3df0261337c698f9ff59312f25f3160bd700a6a698694ed,54be59bd1274fbec6add210ea8c748c528b8e07951434cd3d4c7cd549879689b,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/smoke/two_cycles__smoke__c__r1/artifact.json,False
smoke,cross_module_two_cycles,smoke_dev,a,1,smoke,"{""candidate_budget"":64,""max_depth"":4,""max_total_edits"":4,""verification_budget"":64}",no_acceptable_candidate,no_acceptable_candidate,no-acceptable-candidate,,False,FAIL,4,5,5,0,9927,5,0,0,1,231,0,276,True,97561e857d868faf4b20349f5823a541e890acc371f99eca20a8c27eff29d3ad,d11bab83c507d8c633a685a2c6f36a910dcea197ffb2791238ad54f50f42cbd4,65a8f633f986e890d2e4256700db3ab62c1ee3b69418af30e61531b3c96b62c6,e8480c4a54840e68d7cf3a62c5075e4fc02e6966+dirty:e3b0c44298fc,/Users/kevin/local-repos/ConcIR/experiments/pilot-v1/raw/smoke/cross_module_two_cycles__smoke__a__r1/artifact.json,False
