stage,suite,case,family,config_name,strategy,repeat,raw_outcome,final_classification,evidence_status,stop_reason,truncation,saw_unknown,root_outcome,proposals,unique_programs,verification_calls,cache_hits,states_explored,transitions_explored,nodes,patch_len,accepted_chain_len,exit_code,wall_ms,search_wall_ms,replay_exit,replay_wall_ms,replay_ok,artifact_sha256,artifact_path,reused_from
repair,smoke,already_correct,smoke_dev,smoke,a,1,already_satisfied,already_satisfied,complete,already-satisfied,,False,PASS,0,1,1,0,39,,1,0,0,0,7,7,0,3,True,ffaccbc710438be191e499cf9396cc4024c182acee882728aef823d389197e7c,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/smoke-v2/raw/already_correct__smoke__a__r1/attempt-001/artifact.json,
repair,smoke,already_correct,smoke_dev,smoke,b,1,already_satisfied,already_satisfied,complete,already-satisfied,,False,PASS,0,1,1,0,39,,1,0,0,0,8,8,0,3,True,3ef2fecf14b680b078bc734ec44dae81172a909bcf6488d3277ed727927424fd,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/smoke-v2/raw/already_correct__smoke__b__r1/attempt-001/artifact.json,
repair,smoke,already_correct,smoke_dev,smoke,c,1,already_satisfied,already_satisfied,complete,already-satisfied,,False,PASS,0,1,1,0,39,,1,0,0,0,7,7,0,3,True,dc7a521a38353497013a4048d9578d8602bbe2b396fc9c0a009dcf18796f9a18,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/smoke-v2/raw/already_correct__smoke__c__r1/attempt-001/artifact.json,
repair,smoke,budget_truncated,smoke_dev,smoke,a,1,budget_exhausted,budget_exhausted,complete,candidate-budget,,False,FAIL,1,2,2,0,4140,,2,0,0,1,104,104,0,150,True,b0820de07d0efc67982ece5e318c650998142cee89796c849a1eb65886ddd0d7,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/smoke-v2/raw/budget_truncated__smoke__a__r1/attempt-001/artifact.json,
repair,smoke,budget_truncated,smoke_dev,smoke,b,1,budget_exhausted,budget_exhausted,complete,candidate-budget,,False,FAIL,1,2,2,0,4140,,2,0,0,1,106,106,0,149,True,927d443e53d2b2f73a823af56579f25c31d2668d7c5daa02bc96e278e6874afd,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/smoke-v2/raw/budget_truncated__smoke__b__r1/attempt-001/artifact.json,
repair,smoke,budget_truncated,smoke_dev,smoke,c,1,budget_exhausted,budget_exhausted,complete,candidate-budget,,False,FAIL,1,2,2,0,4140,,2,0,0,1,104,104,0,149,True,6ccf18dadacde88c7918f3fc8397590f6cb433dd8ef80402bd2761ac10c8fcc6,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/smoke-v2/raw/budget_truncated__smoke__c__r1/attempt-001/artifact.json,
repair,smoke,cross_module_two_cycles,smoke_dev,smoke,a,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,4,5,5,0,9927,,5,0,0,1,234,234,0,279,True,edecf1fc00b3ce1b97605392df3ac1f118c8b779ed4848a9dc865490c3139fb4,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/smoke-v2/raw/cross_module_two_cycles__smoke__a__r1/attempt-001/artifact.json,
repair,smoke,cross_module_two_cycles,smoke_dev,smoke,b,1,repaired,repaired,complete,solved,,False,FAIL,7,7,7,1,13445,,7,2,2,0,310,310,0,390,True,b3e02b4346266524a9ce9189e597b80ce1145a0ba77b65d7d490387f4c8edebd,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/smoke-v2/raw/cross_module_two_cycles__smoke__b__r1/attempt-001/artifact.json,
repair,smoke,cross_module_two_cycles,smoke_dev,smoke,c,1,repaired,repaired,complete,solved,,False,FAIL,5,6,6,0,11610,,6,2,2,0,271,271,0,353,True,f4df7e7ac7168b5d85910f47d237edaf81ca5a8dacd75958533cfd551bc03da8,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/smoke-v2/raw/cross_module_two_cycles__smoke__c__r1/attempt-001/artifact.json,
repair,smoke,forbidden_scope,smoke_dev,smoke,a,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,8,8,0,3,True,44a26dbe653c205950b6deec6d6f94167252e66572665c0652875c96c08f4b63,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/smoke-v2/raw/forbidden_scope__smoke__a__r1/attempt-001/artifact.json,
repair,smoke,forbidden_scope,smoke_dev,smoke,b,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,3,True,af323bb1e1f0e3f73d627c2ef73a795b727b833d69bf3915decea796541e1d72,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/smoke-v2/raw/forbidden_scope__smoke__b__r1/attempt-001/artifact.json,
repair,smoke,forbidden_scope,smoke_dev,smoke,c,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,49,,1,0,0,1,7,7,0,4,True,166b429cb678cd7214190665e05a2bc6ebfe85cfdb1280c898415a8d44cd73a5,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/smoke-v2/raw/forbidden_scope__smoke__c__r1/attempt-001/artifact.json,
repair,smoke,no_lock_candidate,smoke_dev,smoke,a,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,5,,1,0,0,1,7,7,0,2,True,8cc5d8ed4df86b329ce47ec219773cb71c9d7004bb8db60fcf4db44597a9357e,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/smoke-v2/raw/no_lock_candidate__smoke__a__r1/attempt-001/artifact.json,
repair,smoke,no_lock_candidate,smoke_dev,smoke,b,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,5,,1,0,0,1,7,7,0,2,True,4fc511f7bbd68bf2a95d735965977abe1814c4951d1bb0760903acacae59b803,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/smoke-v2/raw/no_lock_candidate__smoke__b__r1/attempt-001/artifact.json,
repair,smoke,no_lock_candidate,smoke_dev,smoke,c,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,0,1,1,0,5,,1,0,0,1,7,7,0,3,True,f482b08b8d0dcf7dacc219e89a17e4058279f519c3a12c867a85941c6dfa4633,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/smoke-v2/raw/no_lock_candidate__smoke__c__r1/attempt-001/artifact.json,
repair,smoke,preserved_unfixable,smoke_dev,smoke,a,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,2,3,3,0,135,,3,0,0,1,8,8,0,4,True,1be5c875047aef39aa4074dd2eb6406c4f509f5a8524e4b68285c489528b7eeb,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/smoke-v2/raw/preserved_unfixable__smoke__a__r1/attempt-001/artifact.json,
repair,smoke,preserved_unfixable,smoke_dev,smoke,b,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,8,4,4,5,176,,4,0,0,1,9,9,0,5,True,856c56373e649e331cfc39bb73aa6d2264241652050105bea2b829f18b5db0dd,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/smoke-v2/raw/preserved_unfixable__smoke__b__r1/attempt-001/artifact.json,
repair,smoke,preserved_unfixable,smoke_dev,smoke,c,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,8,4,4,5,176,,4,0,0,1,9,9,0,5,True,30f3ba9259d27862d369486788cce6a7b95c344a0b5b2920db31e3080abc1d79,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/smoke-v2/raw/preserved_unfixable__smoke__c__r1/attempt-001/artifact.json,
repair,smoke,single_cycle,smoke_dev,smoke,a,1,repaired,repaired,complete,solved,,False,FAIL,1,2,2,0,92,,2,1,1,0,8,8,0,4,True,9051091ede88893069d45558321e58637ac2cb455de98e892856646e599f7fd9,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/smoke-v2/raw/single_cycle__smoke__a__r1/attempt-001/artifact.json,
repair,smoke,single_cycle,smoke_dev,smoke,b,1,repaired,repaired,complete,solved,,False,FAIL,1,2,2,0,92,,2,1,1,0,8,8,0,4,True,f2efcb2bd57ed8c2f4393a9bc9e98374eabb804af7b33bf76512bd6e37f3963c,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/smoke-v2/raw/single_cycle__smoke__b__r1/attempt-001/artifact.json,
repair,smoke,single_cycle,smoke_dev,smoke,c,1,repaired,repaired,complete,solved,,False,FAIL,1,2,2,0,92,,2,1,1,0,8,8,0,4,True,a0023d4c73efbc8f4007b6214b014504e2d7086d283db8c0bed4ca2a0ffbc6ac,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/smoke-v2/raw/single_cycle__smoke__c__r1/attempt-001/artifact.json,
