model,requested_model,provider,transport,arm,task,tier,replicate,status,accepted,first_pass_round,repairs,failure_stage,failure_detail,calls,calls_usage_unknown,input_tokens,output_tokens,total_tokens,latency_ms,error
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G2_tools_iter,atomic-data/atomic_lost_update,Medium,0,accepted,True,1,0,,,1,0,507,2335,2842,21926,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G2_tools_iter,atomic-data/bounded_counter_invariant,Simple,0,accepted,True,1,0,,,1,0,477,1406,1883,12854,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G2_tools_iter,atomic-data/counter_overflow_safety,Simple,0,accepted,True,1,0,,,1,0,483,1182,1665,11261,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G2_tools_iter,channel/bounded_backpressure_lock_held,Medium,0,accepted,True,1,0,,,1,0,503,1121,1624,10735,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G2_tools_iter,channel/rendezvous_both_send,Simple,0,accepted,True,1,0,,,1,0,448,2255,2703,22091,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G2_tools_iter,channel/send_while_holding_mutex,Simple,0,accepted,True,1,0,,,1,0,424,1858,2282,16879,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G2_tools_iter,condvar/bare_wait_no_predicate,Complex,0,accepted,True,1,0,,,1,0,543,2537,3080,23319,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G2_tools_iter,condvar/lost_wakeup_notify_before_wait,Complex,0,accepted,True,1,0,,,1,0,550,1621,2171,15497,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G2_tools_iter,condvar/notify_one_multi_waiter_wrong_pick,Complex,0,accepted,True,2,1,,,2,0,2459,6459,8918,58477,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G2_tools_iter,condvar/same_cv_different_locks,Complex,0,accepted,True,4,3,,,4,0,8249,9592,17841,104784,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G2_tools_iter,lock-order/abba_2lock,Medium,0,accepted,True,1,0,,,1,0,498,1109,1607,13026,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G2_tools_iter,lock-order/cross_module_cycle,Medium,0,accepted,True,1,0,,,1,0,514,1497,2011,17013,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G2_tools_iter,lock-order/cycle_3lock,Complex,0,accepted,True,1,0,,,1,0,530,2285,2815,24364,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G2_tools_iter,lock-order/partial_deadlock_bystander,Complex,0,not_accepted,False,,,code,,7,0,5635,26252,31887,452791,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G2_tools_iter,lock-order/two_independent_cycles,Complex,0,accepted,True,1,0,,,1,0,574,1277,1851,15264,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G2_tools_iter,semaphore/acquire_twice_no_release,Simple,0,accepted,True,1,0,,,1,0,479,1762,2241,22707,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G2_tools_iter,semaphore/permit_leak,Simple,0,accepted,True,1,0,,,1,0,467,695,1162,9453,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G2_tools_iter,semaphore/throttle_n_permits,Medium,0,accepted,True,1,0,,,1,0,468,1814,2282,21494,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G2_tools_iter,structure/finite_call_loop,Simple,0,accepted,True,1,0,,,1,0,404,467,871,6162,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G2_tools_iter,structure/nested_scope_lock_order,Medium,0,accepted,True,1,0,,,1,0,452,1088,1540,12253,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G2_tools_iter,structure/scope_bound_k_workers,Complex,0,accepted,True,1,0,,,1,0,442,1588,2030,16818,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G2_tools_iter,structure/scope_worker_abba,Medium,0,accepted,True,1,0,,,1,0,496,1180,1676,15109,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G2_tools_iter,structure/spawn_join_loop_finite,Simple,0,accepted,True,1,0,,,1,0,424,1778,2202,21832,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G2_tools_iter,structure/worker_with_payload,Medium,0,accepted,True,1,0,,,1,0,460,1578,2038,15429,
