model,requested_model,provider,transport,arm,task,tier,replicate,status,cir_accepted,code_accepted,accepted,accepted_with_proof,first_cir_pass_round,first_code_accept_round,cir_repairs,code_repairs,first_accept_total_candidate_rounds,calls,input_tokens,output_tokens,total_tokens,latency_ms,error
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,atomic-data/atomic_lost_update,Medium,0,accepted,True,True,True,False,4,2,3,1,6,6,14645,7882,22527,57919,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,atomic-data/bounded_counter_invariant,Simple,0,accepted,True,True,True,False,1,2,0,1,3,3,5011,2604,7615,22459,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,atomic-data/counter_overflow_safety,Simple,0,accepted,True,True,True,False,2,1,1,0,3,3,6420,4429,10849,32915,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,channel/bounded_backpressure_lock_held,Medium,0,accepted,True,True,True,False,3,1,2,0,4,4,9172,4310,13482,29370,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,channel/rendezvous_both_send,Simple,0,accepted,True,True,True,False,3,1,2,0,4,4,7888,3069,10957,23929,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,channel/send_while_holding_mutex,Simple,0,accepted,True,True,True,False,2,1,1,0,3,3,6343,4886,11229,35318,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,condvar/bare_wait_no_predicate,Complex,0,accepted,True,True,True,False,2,1,1,0,3,3,6511,3856,10367,33122,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,condvar/lost_wakeup_notify_before_wait,Complex,0,accepted,True,True,True,False,3,2,2,1,5,5,11487,5975,17462,45467,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,condvar/notify_one_multi_waiter_wrong_pick,Complex,0,generation_failed,True,False,False,False,2,,1,,2,5,12057,17507,29564,204090,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,condvar/same_cv_different_locks,Complex,0,unsupported,False,False,False,False,,,,,,2,5340,4141,9481,30157,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,lock-order/abba_2lock,Medium,0,accepted,True,True,True,False,1,3,0,2,4,4,7512,3830,11342,33741,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,lock-order/cross_module_cycle,Medium,0,generation_failed,True,False,False,False,4,,3,,4,7,16184,8045,24229,61012,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,lock-order/cycle_3lock,Complex,0,accepted,True,True,True,False,1,1,0,0,2,2,3652,1986,5638,14737,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,lock-order/partial_deadlock_bystander,Complex,0,generation_failed,False,False,False,False,,,,,,4,12076,10060,22136,68121,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,lock-order/two_independent_cycles,Complex,0,accepted,True,True,True,False,1,2,0,1,3,3,7476,3749,11225,26211,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,semaphore/acquire_twice_no_release,Simple,0,accepted,True,True,True,False,1,1,0,0,2,2,3595,2308,5903,18355,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,semaphore/permit_leak,Simple,0,accepted,True,True,True,False,1,1,0,0,2,2,3264,1864,5128,14998,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,semaphore/throttle_n_permits,Medium,0,accepted,True,True,True,False,2,1,1,0,3,3,6104,2170,8274,17724,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,structure/finite_call_loop,Simple,0,accepted,True,True,True,False,1,1,0,0,2,2,2734,649,3383,7563,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,structure/nested_scope_lock_order,Medium,0,accepted,True,True,True,False,1,2,0,1,3,3,5224,1706,6930,15181,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,structure/scope_bound_k_workers,Complex,0,accepted,True,True,True,False,4,1,3,0,5,5,12480,6678,19158,50399,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,structure/scope_worker_abba,Medium,0,accepted,True,True,True,False,1,2,0,1,3,3,5149,1715,6864,14923,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,structure/spawn_join_loop_finite,Simple,0,accepted,True,True,True,False,1,2,0,1,3,3,4161,1932,6093,19402,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,structure/worker_with_payload,Medium,0,accepted,True,True,True,False,2,1,1,0,3,3,6640,3680,10320,26638,
