stage,suite,case,family,config_name,strategy,repeat,raw_outcome,final_classification,evidence_status,stop_reason,truncation,saw_unknown,root_outcome,proposals,unique_programs,verification_calls,cache_hits,states_explored,transitions_explored,nodes,patch_len,accepted_chain_len,exit_code,wall_ms,search_wall_ms,replay_exit,replay_wall_ms,replay_ok,artifact_sha256,artifact_path,reused_from
repair,pilot,c_already_correct,controls,main,a,1,already_satisfied,already_satisfied,complete,already-satisfied,,False,PASS,0,1,1,0,8,,1,0,0,0,7,7,0,2,True,3a86d5c6c92a2c3ae16eff9c14cca2315da5527f5cd3b76dfc18b73ffbeacca3,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_already_correct__main__a__r1/attempt-001/artifact.json,
repair,pilot,c_already_correct,controls,main,a,2,already_satisfied,already_satisfied,complete,already-satisfied,,False,PASS,0,1,1,0,8,,1,0,0,0,7,7,0,2,True,3a86d5c6c92a2c3ae16eff9c14cca2315da5527f5cd3b76dfc18b73ffbeacca3,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_already_correct__main__a__r2/attempt-001/artifact.json,
repair,pilot,c_already_correct,controls,main,a,3,already_satisfied,already_satisfied,complete,already-satisfied,,False,PASS,0,1,1,0,8,,1,0,0,0,7,7,0,3,True,3a86d5c6c92a2c3ae16eff9c14cca2315da5527f5cd3b76dfc18b73ffbeacca3,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_already_correct__main__a__r3/attempt-001/artifact.json,
repair,pilot,c_already_correct,controls,main,b,1,already_satisfied,already_satisfied,complete,already-satisfied,,False,PASS,0,1,1,0,8,,1,0,0,0,6,6,0,2,True,9017f364a20501e5b7cd9e03b760cc86712f336df65006259b4292d207dc1468,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_already_correct__main__b__r1/attempt-001/artifact.json,
repair,pilot,c_already_correct,controls,main,b,2,already_satisfied,already_satisfied,complete,already-satisfied,,False,PASS,0,1,1,0,8,,1,0,0,0,6,6,0,2,True,9017f364a20501e5b7cd9e03b760cc86712f336df65006259b4292d207dc1468,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_already_correct__main__b__r2/attempt-001/artifact.json,
repair,pilot,c_already_correct,controls,main,b,3,already_satisfied,already_satisfied,complete,already-satisfied,,False,PASS,0,1,1,0,8,,1,0,0,0,7,7,0,2,True,9017f364a20501e5b7cd9e03b760cc86712f336df65006259b4292d207dc1468,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_already_correct__main__b__r3/attempt-001/artifact.json,
repair,pilot,c_already_correct,controls,main,c,1,already_satisfied,already_satisfied,complete,already-satisfied,,False,PASS,0,1,1,0,8,,1,0,0,0,7,7,0,2,True,7dea49778858cac9e958c1375dcff03c276598e5a0baf85a0172e557349fd5eb,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_already_correct__main__c__r1/attempt-001/artifact.json,
repair,pilot,c_already_correct,controls,main,c,2,already_satisfied,already_satisfied,complete,already-satisfied,,False,PASS,0,1,1,0,8,,1,0,0,0,7,7,0,3,True,7dea49778858cac9e958c1375dcff03c276598e5a0baf85a0172e557349fd5eb,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_already_correct__main__c__r2/attempt-001/artifact.json,
repair,pilot,c_already_correct,controls,main,c,3,already_satisfied,already_satisfied,complete,already-satisfied,,False,PASS,0,1,1,0,8,,1,0,0,0,7,7,0,2,True,7dea49778858cac9e958c1375dcff03c276598e5a0baf85a0172e557349fd5eb,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_already_correct__main__c__r3/attempt-001/artifact.json,
repair,pilot,c_already_correct,controls,tight,a,1,already_satisfied,already_satisfied,complete,already-satisfied,,False,PASS,0,1,1,0,8,,1,0,0,0,6,6,0,2,True,227c866e961fa64351a9e762a9bb6d6c81dc9d14b7963458870c46cb779635ad,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2/results/batches/pilot-v2/raw/c_already_correct__tight__a__r1/attempt-001/artifact.json,
