model,requested_model,provider,transport,arm,task,tier,replicate,status,cir_accepted,code_accepted,accepted,accepted_with_proof,first_cir_pass_round,first_code_accept_round,cir_repairs,code_repairs,first_accept_total_candidate_rounds,calls,input_tokens,output_tokens,total_tokens,latency_ms,error
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,channel/rendezvous_both_send,Simple,0,accepted,True,True,True,False,2,1,1,0,3,3,5980,1429,7409,5421,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,lock-order/cross_module_cycle,Medium,0,generation_failed,False,False,False,False,,,,,,4,9874,2458,12332,8186,
Kimi,kimi-k3,moonshot,opencode-go,G3,channel/rendezvous_both_send,Simple,0,accepted,True,True,True,False,2,1,1,0,3,3,5818,3401,9219,41329,
Kimi,kimi-k3,moonshot,opencode-go,G3,lock-order/cross_module_cycle,Medium,0,accepted,True,True,True,False,4,1,3,0,5,5,13126,8602,21728,159787,
GLM,glm-5.3-flash,zhipu,opencode-go,G3,channel/rendezvous_both_send,Simple,0,generation_failed,False,False,False,False,,,,,,4,7037,14481,21518,60767,
GLM,glm-5.3-flash,zhipu,opencode-go,G3,lock-order/cross_module_cycle,Medium,0,error,,,,,,,,,,1,0,0,0,556845,APIConnectionError: Connection error.
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,channel/rendezvous_both_send,Simple,0,accepted,True,True,True,False,3,1,2,0,4,4,7888,3221,11109,32825,
GPT 6 Luna,gpt-6-luna,openai,opencode-go,G3,lock-order/cross_module_cycle,Medium,0,generation_failed,False,False,False,False,,,,,,4,9952,4775,14727,37390,
Grok 4.7,grok-4.7,xai,opencode-go,G3,channel/rendezvous_both_send,Simple,0,error,,,,,,,,,,1,0,0,0,182383,APIConnectionError: Connection error.
Grok 4.7,grok-4.7,xai,opencode-go,G3,lock-order/cross_module_cycle,Medium,0,error,,,,,,,,,,1,0,0,0,182578,APIConnectionError: Connection error.
Mimo,mimo-v2.5,xiaomi,opencode-go,G3,channel/rendezvous_both_send,Simple,0,error,,,,,,,,,,1,0,0,0,557707,APIConnectionError: Connection error.
Mimo,mimo-v2.5,xiaomi,opencode-go,G3,lock-order/cross_module_cycle,Medium,0,generation_failed,False,False,False,False,,,,,,4,10109,8214,18323,700510,
