model,requested_model,provider,transport,arm,task,tier,replicate,status,cir_accepted,code_accepted,accepted,accepted_with_proof,first_cir_pass_round,first_code_accept_round,cir_repairs,code_repairs,first_accept_total_candidate_rounds,calls,input_tokens,output_tokens,total_tokens,latency_ms,error
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,atomic-data/atomic_lost_update,Medium,0,accepted,True,True,True,False,4,1,3,0,5,5,15238,4669,19907,60329,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,atomic-data/atomic_lost_update,Medium,1,generation_failed,False,False,False,False,,,,,,4,12027,4497,16524,54734,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,atomic-data/atomic_lost_update,Medium,2,accepted,True,True,True,False,4,2,3,1,6,6,17738,5040,22778,63452,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,atomic-data/bounded_counter_invariant,Simple,0,generation_failed,True,False,False,False,1,,0,,1,4,7563,1353,8916,25483,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,atomic-data/bounded_counter_invariant,Simple,1,accepted,True,True,True,False,1,1,0,0,2,2,3551,734,4285,10026,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,atomic-data/bounded_counter_invariant,Simple,2,accepted,True,True,True,False,1,1,0,0,2,2,3551,734,4285,11197,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,atomic-data/counter_overflow_safety,Simple,0,generation_failed,True,False,False,False,3,,2,,3,6,15923,4363,20286,57821,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,atomic-data/counter_overflow_safety,Simple,1,generation_failed,True,False,False,False,3,,2,,3,6,15639,3944,19583,55011,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,atomic-data/counter_overflow_safety,Simple,2,accepted,True,True,True,False,4,3,3,2,7,7,18834,5082,23916,65899,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,channel/bounded_backpressure_lock_held,Medium,0,generation_failed,False,False,False,False,,,,,,4,15122,3136,18258,36897,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,channel/bounded_backpressure_lock_held,Medium,1,generation_failed,False,False,False,False,,,,,,4,13971,5748,19719,72451,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,channel/bounded_backpressure_lock_held,Medium,2,accepted,True,True,True,False,4,3,3,2,7,7,20021,4183,24204,56789,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,channel/rendezvous_both_send,Simple,0,generation_failed,True,False,False,False,4,,3,,4,7,16819,3024,19843,43301,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,channel/rendezvous_both_send,Simple,1,generation_failed,True,False,False,False,3,,2,,3,6,13208,2330,15538,33130,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,channel/rendezvous_both_send,Simple,2,accepted,True,True,True,False,4,2,3,1,6,6,14940,2612,17552,39266,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,channel/send_while_holding_mutex,Simple,0,generation_failed,True,False,False,False,4,,3,,4,7,22419,7181,29600,87844,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,channel/send_while_holding_mutex,Simple,1,generation_failed,True,False,False,False,3,,2,,3,6,15700,3925,19625,56575,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,channel/send_while_holding_mutex,Simple,2,generation_failed,False,False,False,False,,,,,,4,13180,2584,15764,35436,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,condvar/bare_wait_no_predicate,Complex,0,generation_failed,True,False,False,False,4,,3,,4,7,18918,4768,23686,59354,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,condvar/bare_wait_no_predicate,Complex,1,generation_failed,False,False,False,False,,,,,,4,11107,2979,14086,43271,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,condvar/bare_wait_no_predicate,Complex,2,generation_failed,False,False,False,False,,,,,,4,12434,3705,16139,49893,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,condvar/lost_wakeup_notify_before_wait,Complex,0,accepted,True,True,True,False,3,2,2,1,5,5,12906,2815,15721,44037,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,condvar/lost_wakeup_notify_before_wait,Complex,1,accepted,True,True,True,False,4,2,3,1,6,6,16992,4715,21707,58630,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,condvar/lost_wakeup_notify_before_wait,Complex,2,generation_failed,False,False,False,False,,,,,,4,11326,3098,14424,44919,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,condvar/notify_one_multi_waiter_wrong_pick,Complex,0,generation_failed,True,False,False,False,3,,2,,3,6,22053,10716,32769,163729,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,condvar/notify_one_multi_waiter_wrong_pick,Complex,1,generation_failed,True,False,False,False,4,,3,,4,7,25700,12390,38090,158297,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,condvar/notify_one_multi_waiter_wrong_pick,Complex,2,generation_failed,True,False,False,False,2,,1,,2,5,18567,9399,27966,149169,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,condvar/same_cv_different_locks,Complex,0,unsupported,False,False,False,False,,,,,,4,15541,5185,20726,69859,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,condvar/same_cv_different_locks,Complex,1,unsupported,False,False,False,False,,,,,,4,19075,6872,25947,87042,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,condvar/same_cv_different_locks,Complex,2,unsupported,False,False,False,False,,,,,,4,14854,4936,19790,66190,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,lock-order/abba_2lock,Medium,0,generation_failed,True,False,False,False,1,,0,,1,4,7950,1698,9648,25091,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,lock-order/abba_2lock,Medium,1,accepted,True,True,True,False,1,1,0,0,2,2,3634,944,4578,12740,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,lock-order/abba_2lock,Medium,2,generation_failed,True,False,False,False,1,,0,,1,4,7930,1694,9624,25746,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,lock-order/cross_module_cycle,Medium,0,generation_failed,False,False,False,False,,,,,,4,11244,3610,14854,47160,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,lock-order/cross_module_cycle,Medium,1,generation_failed,False,False,False,False,,,,,,4,11244,3610,14854,50593,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,lock-order/cross_module_cycle,Medium,2,generation_failed,False,False,False,False,,,,,,4,11244,3610,14854,47797,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,lock-order/cycle_3lock,Complex,0,accepted,True,True,True,False,3,1,2,0,4,4,11944,3273,15217,42138,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,lock-order/cycle_3lock,Complex,1,generation_failed,False,False,False,False,,,,,,4,13223,3052,16275,39248,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,lock-order/cycle_3lock,Complex,2,accepted,True,True,True,False,2,1,1,0,3,3,7738,1823,9561,24276,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,lock-order/partial_deadlock_bystander,Complex,0,generation_failed,False,False,False,False,,,,,,4,12943,4404,17347,57099,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,lock-order/partial_deadlock_bystander,Complex,1,generation_failed,False,False,False,False,,,,,,4,19565,4527,24092,63987,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,lock-order/partial_deadlock_bystander,Complex,2,generation_failed,False,False,False,False,,,,,,4,13968,5453,19421,63450,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,lock-order/two_independent_cycles,Complex,0,accepted,True,True,True,False,1,1,0,0,2,2,4375,1441,5816,18986,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,lock-order/two_independent_cycles,Complex,1,accepted,True,True,True,False,1,1,0,0,2,2,4375,1441,5816,21909,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,lock-order/two_independent_cycles,Complex,2,accepted,True,True,True,False,1,1,0,0,2,2,4375,1337,5712,19175,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,semaphore/acquire_twice_no_release,Simple,0,accepted,True,True,True,False,2,1,1,0,3,3,7660,1327,8987,20098,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,semaphore/acquire_twice_no_release,Simple,1,generation_failed,True,False,False,False,2,,1,,2,5,11208,1613,12821,28931,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,semaphore/acquire_twice_no_release,Simple,2,generation_failed,True,False,False,False,2,,1,,2,5,11246,1658,12904,26523,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,semaphore/permit_leak,Simple,0,generation_failed,True,False,False,False,2,,1,,2,5,11224,1709,12933,25268,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,semaphore/permit_leak,Simple,1,accepted,True,True,True,False,2,1,1,0,3,3,7630,1265,8895,17374,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,semaphore/permit_leak,Simple,2,generation_failed,True,False,False,False,2,,1,,2,5,11224,1709,12933,24799,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,semaphore/throttle_n_permits,Medium,0,accepted,True,True,True,False,2,1,1,0,3,3,8774,1620,10394,20736,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,semaphore/throttle_n_permits,Medium,1,accepted,True,True,True,False,2,1,1,0,3,3,8738,1651,10389,23033,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,semaphore/throttle_n_permits,Medium,2,generation_failed,True,False,False,False,2,,1,,2,5,13746,2646,16392,38516,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,structure/finite_call_loop,Simple,0,accepted,True,True,True,False,1,1,0,0,2,2,2957,353,3310,5993,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,structure/finite_call_loop,Simple,1,accepted,True,True,True,False,1,1,0,0,2,2,2948,373,3321,5218,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,structure/finite_call_loop,Simple,2,accepted,True,True,True,False,1,1,0,0,2,2,2949,345,3294,4702,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,structure/nested_scope_lock_order,Medium,0,accepted,True,True,True,False,1,2,0,1,3,3,5922,1550,7472,24735,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,structure/nested_scope_lock_order,Medium,1,generation_failed,True,False,False,False,1,,0,,1,4,8546,1841,10387,30163,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,structure/nested_scope_lock_order,Medium,2,generation_failed,True,False,False,False,1,,0,,1,4,8299,1815,10114,23233,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,structure/scope_bound_k_workers,Complex,0,accepted,True,True,True,False,2,1,1,0,3,3,7563,1634,9197,24160,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,structure/scope_bound_k_workers,Complex,1,accepted,True,True,True,False,3,1,2,0,4,4,11967,2724,14691,42738,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,structure/scope_bound_k_workers,Complex,2,generation_failed,True,False,False,False,2,,1,,2,5,12782,2122,14904,33053,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,structure/scope_worker_abba,Medium,0,accepted,True,True,True,False,1,1,0,0,2,2,3630,979,4609,14781,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G3,structure/scope_worker_abba,Medium,1,accepted,True,True,True,False,1,1,0,0,2,2,3630,945,4575,13977,
