model,requested_model,provider,transport,arm,task,tier,replicate,status,cir_accepted,code_accepted,accepted,accepted_with_proof,first_cir_pass_round,first_code_accept_round,cir_repairs,code_repairs,first_accept_total_candidate_rounds,calls,input_tokens,output_tokens,total_tokens,latency_ms,error
Grok 4.7,grok-4.7,xai,opencode-go,G3,atomic-data/atomic_lost_update,Medium,0,error,,,,,,,,,,1,0,0,0,182557,APIConnectionError: Connection error.
Grok 4.7,grok-4.7,xai,opencode-go,G3,atomic-data/bounded_counter_invariant,Simple,0,error,,,,,,,,,,1,0,0,0,182706,APIConnectionError: Connection error.
Grok 4.7,grok-4.7,xai,opencode-go,G3,atomic-data/counter_overflow_safety,Simple,0,error,,,,,,,,,,1,0,0,0,182448,APIConnectionError: Connection error.
Grok 4.7,grok-4.7,xai,opencode-go,G3,channel/bounded_backpressure_lock_held,Medium,0,error,,,,,,,,,,1,0,0,0,182506,APIConnectionError: Connection error.
Grok 4.7,grok-4.7,xai,opencode-go,G3,channel/rendezvous_both_send,Simple,0,error,,,,,,,,,,1,0,0,0,182389,APIConnectionError: Connection error.
Grok 4.7,grok-4.7,xai,opencode-go,G3,channel/send_while_holding_mutex,Simple,0,error,,,,,,,,,,1,0,0,0,183132,APIConnectionError: Connection error.
Grok 4.7,grok-4.7,xai,opencode-go,G3,condvar/bare_wait_no_predicate,Complex,0,error,,,,,,,,,,1,0,0,0,182553,APIConnectionError: Connection error.
Grok 4.7,grok-4.7,xai,opencode-go,G3,condvar/lost_wakeup_notify_before_wait,Complex,0,error,,,,,,,,,,1,0,0,0,182754,APIConnectionError: Connection error.
Grok 4.7,grok-4.7,xai,opencode-go,G3,condvar/notify_one_multi_waiter_wrong_pick,Complex,0,error,,,,,,,,,,1,0,0,0,182736,APIConnectionError: Connection error.
Grok 4.7,grok-4.7,xai,opencode-go,G3,condvar/same_cv_different_locks,Complex,0,error,,,,,,,,,,1,0,0,0,182744,APIConnectionError: Connection error.
Grok 4.7,grok-4.7,xai,opencode-go,G3,lock-order/abba_2lock,Medium,0,accepted,True,True,True,False,1,1,0,0,2,2,6117,6983,13100,133651,
Grok 4.7,grok-4.7,xai,opencode-go,G3,lock-order/cross_module_cycle,Medium,0,error,,,,,,,,,,1,0,0,0,182711,APIConnectionError: Connection error.
Grok 4.7,grok-4.7,xai,opencode-go,G3,lock-order/cycle_3lock,Complex,0,accepted,True,True,True,False,1,1,0,0,2,2,6543,7925,14468,192119,
Grok 4.7,grok-4.7,xai,opencode-go,G3,lock-order/partial_deadlock_bystander,Complex,0,error,,,,,,,,,,1,0,0,0,182646,APIConnectionError: Connection error.
Grok 4.7,grok-4.7,xai,opencode-go,G3,lock-order/two_independent_cycles,Complex,0,accepted,True,True,True,False,1,1,0,0,2,2,6669,6962,13631,141497,
Grok 4.7,grok-4.7,xai,opencode-go,G3,semaphore/acquire_twice_no_release,Simple,0,error,,,,,,,,,,1,0,0,0,182681,APIConnectionError: Connection error.
Grok 4.7,grok-4.7,xai,opencode-go,G3,semaphore/permit_leak,Simple,0,error,,,,,,,,,,1,0,0,0,182952,APIConnectionError: Connection error.
Grok 4.7,grok-4.7,xai,opencode-go,G3,semaphore/throttle_n_permits,Medium,0,error,,,,,,,,,,1,0,0,0,180155,APIConnectionError: Connection error.
Grok 4.7,grok-4.7,xai,opencode-go,G3,structure/finite_call_loop,Simple,0,accepted,True,True,True,False,1,1,0,0,2,2,5291,5074,10365,128750,
Grok 4.7,grok-4.7,xai,opencode-go,G3,structure/nested_scope_lock_order,Medium,0,accepted,True,True,True,False,1,1,0,0,2,2,5968,6888,12856,85154,
