model,requested_model,provider,transport,arm,task,tier,replicate,status,accepted,first_pass_round,repairs,failure_stage,failure_detail,calls,calls_usage_unknown,input_tokens,output_tokens,total_tokens,latency_ms,error
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G2_tools_iter,atomic-data/atomic_lost_update,Medium,0,accepted,True,1,0,,,1,0,524,263,787,1861,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G2_tools_iter,atomic-data/bounded_counter_invariant,Simple,0,accepted,True,3,2,,,3,0,5580,2604,8184,11464,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G2_tools_iter,atomic-data/counter_overflow_safety,Simple,0,not_accepted,False,,,code,,4,0,7965,979,8944,4907,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G2_tools_iter,channel/bounded_backpressure_lock_held,Medium,0,accepted,True,2,1,,,2,0,3384,3051,6435,11270,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G2_tools_iter,channel/rendezvous_both_send,Simple,0,accepted,True,1,0,,,1,0,464,145,609,729,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G2_tools_iter,channel/send_while_holding_mutex,Simple,0,not_accepted,False,,,code,,4,0,6063,2173,8236,8435,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G2_tools_iter,condvar/bare_wait_no_predicate,Complex,0,accepted,True,1,0,,,1,0,563,193,756,1202,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G2_tools_iter,condvar/lost_wakeup_notify_before_wait,Complex,0,accepted,True,1,0,,,1,0,571,216,787,1200,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G2_tools_iter,condvar/notify_one_multi_waiter_wrong_pick,Complex,0,not_accepted,False,,,code,,4,0,10085,6326,16411,26141,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G2_tools_iter,condvar/same_cv_different_locks,Complex,0,not_accepted,False,,,code,,6,0,12034,14104,26138,67576,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G2_tools_iter,lock-order/abba_2lock,Medium,0,accepted,True,1,0,,,1,0,513,244,757,1391,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G2_tools_iter,lock-order/cross_module_cycle,Medium,0,accepted,True,2,1,,,2,0,3598,1534,5132,6061,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G2_tools_iter,lock-order/cycle_3lock,Complex,0,not_accepted,False,,,code,,4,0,8615,1668,10283,7077,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G2_tools_iter,lock-order/partial_deadlock_bystander,Complex,0,not_accepted,False,,,code,,4,0,6497,1866,8363,6911,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G2_tools_iter,lock-order/two_independent_cycles,Complex,0,accepted,True,1,0,,,1,0,589,357,946,1560,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G2_tools_iter,semaphore/acquire_twice_no_release,Simple,0,accepted,True,2,1,,,2,0,3055,424,3479,2465,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G2_tools_iter,semaphore/permit_leak,Simple,0,accepted,True,1,0,,,1,0,481,168,649,1090,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G2_tools_iter,semaphore/throttle_n_permits,Medium,0,accepted,True,1,0,,,1,0,482,259,741,1275,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G2_tools_iter,structure/finite_call_loop,Simple,0,not_accepted,False,,,code,,4,0,7512,736,8248,4766,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G2_tools_iter,structure/nested_scope_lock_order,Medium,0,accepted,True,2,1,,,2,0,3014,1695,4709,6915,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G2_tools_iter,structure/scope_bound_k_workers,Complex,0,accepted,True,1,0,,,1,0,457,226,683,1199,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G2_tools_iter,structure/scope_worker_abba,Medium,0,accepted,True,1,0,,,1,0,518,195,713,1212,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G2_tools_iter,structure/spawn_join_loop_finite,Simple,0,accepted,True,1,0,,,1,0,439,278,717,1506,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G2_tools_iter,structure/worker_with_payload,Medium,0,accepted,True,1,0,,,1,0,480,336,816,1448,
