model,requested_model,provider,transport,arm,task,tier,replicate,status,accepted,first_pass_round,repairs,failure_stage,failure_detail,calls,calls_usage_unknown,input_tokens,output_tokens,total_tokens,latency_ms,error
Qwen,qwen3.8-flash,qwen,dashscope-direct,G2_tools_iter,atomic-data/atomic_lost_update,Medium,0,accepted,True,1,0,,,1,0,533,255,788,3256,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G2_tools_iter,atomic-data/bounded_counter_invariant,Simple,0,accepted,True,2,1,,,2,0,4512,4173,8685,58812,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G2_tools_iter,atomic-data/counter_overflow_safety,Simple,0,not_accepted,False,,,code,,4,0,10251,2316,12567,29399,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G2_tools_iter,channel/bounded_backpressure_lock_held,Medium,0,accepted,True,1,0,,,1,0,527,717,1244,9305,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G2_tools_iter,channel/rendezvous_both_send,Simple,0,accepted,True,1,0,,,1,0,471,697,1168,11264,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G2_tools_iter,channel/send_while_holding_mutex,Simple,0,accepted,True,1,0,,,1,0,445,554,999,8813,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G2_tools_iter,condvar/bare_wait_no_predicate,Complex,0,accepted,True,1,0,,,1,0,570,224,794,4068,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G2_tools_iter,condvar/lost_wakeup_notify_before_wait,Complex,0,accepted,True,1,0,,,1,0,577,562,1139,9596,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G2_tools_iter,condvar/notify_one_multi_waiter_wrong_pick,Complex,0,not_accepted,False,,,code,,4,0,9753,5014,14767,65161,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G2_tools_iter,condvar/same_cv_different_locks,Complex,0,error,,,,,,4,0,17239,15111,32350,205459,RuntimeError: concir-instrument --wrappers failed: instrument v2 failed: parse error: cannot parse string into token stream
Qwen,qwen3.8-flash,qwen,dashscope-direct,G2_tools_iter,lock-order/abba_2lock,Medium,0,accepted,True,1,0,,,1,0,523,425,948,7285,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G2_tools_iter,lock-order/cross_module_cycle,Medium,0,accepted,True,1,0,,,1,0,541,386,927,5026,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G2_tools_iter,lock-order/cycle_3lock,Complex,0,accepted,True,1,0,,,1,0,557,354,911,5585,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G2_tools_iter,lock-order/partial_deadlock_bystander,Complex,0,error,,,,,,4,0,18045,16384,34429,208361,RuntimeError: concir-instrument --wrappers failed: instrument v2 failed: parse error: cannot parse string into token stream
Qwen,qwen3.8-flash,qwen,dashscope-direct,G2_tools_iter,lock-order/two_independent_cycles,Complex,0,accepted,True,1,0,,,1,0,605,691,1296,7893,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G2_tools_iter,semaphore/acquire_twice_no_release,Simple,0,accepted,True,1,0,,,1,0,503,212,715,3418,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G2_tools_iter,semaphore/permit_leak,Simple,0,accepted,True,1,0,,,1,0,491,173,664,2540,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G2_tools_iter,semaphore/throttle_n_permits,Medium,0,accepted,True,1,0,,,1,0,492,224,716,3268,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G2_tools_iter,structure/finite_call_loop,Simple,0,accepted,True,1,0,,,1,0,424,101,525,3251,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G2_tools_iter,structure/nested_scope_lock_order,Medium,0,accepted,True,1,0,,,1,0,475,314,789,4691,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G2_tools_iter,structure/scope_bound_k_workers,Complex,0,accepted,True,1,0,,,1,0,464,386,850,7230,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G2_tools_iter,structure/scope_worker_abba,Medium,0,accepted,True,1,0,,,1,0,521,333,854,5295,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G2_tools_iter,structure/spawn_join_loop_finite,Simple,0,accepted,True,2,1,,,2,0,2258,1036,3294,17305,
Qwen,qwen3.8-flash,qwen,dashscope-direct,G2_tools_iter,structure/worker_with_payload,Medium,0,not_accepted,False,,,code,,4,0,9038,1744,10782,32324,
