stage,suite,case,family,config_name,strategy,repeat,raw_outcome,final_classification,evidence_status,stop_reason,truncation,saw_unknown,root_outcome,report_complete,proposals,unique_programs,verification_calls,cache_hits,states_explored,transitions_explored,nodes,patch_len,accepted_chain_len,exit_code,wall_ms,wall_ms_basis,search_wall_ms,replay_exit,replay_wall_ms,replay_ok,artifact_sha256,artifact_path,attempt_id,reused_from
repair,smoke,already_correct,smoke_dev,smoke,a,1,already_satisfied,already_satisfied,complete,already-satisfied,,False,PASS,,0,1,1,0,39,,1,0,0,0,8,search,8,0,3,True,ffaccbc710438be191e499cf9396cc4024c182acee882728aef823d389197e7c,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2-lifecycle/results/batches/smoke-lifecycle/raw/already_correct__smoke__a__r1__d45184b353105ed237f832f7/attempt-20260918T045103926621-52671-1/artifact.json,20260918T045103926621-52671-1,
repair,smoke,already_correct,smoke_dev,smoke,b,1,already_satisfied,already_satisfied,complete,already-satisfied,,False,PASS,,0,1,1,0,39,,1,0,0,0,7,search,7,0,3,True,3ef2fecf14b680b078bc734ec44dae81172a909bcf6488d3277ed727927424fd,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2-lifecycle/results/batches/smoke-lifecycle/raw/already_correct__smoke__b__r1__1143e060cf2711ff0c7b7727/attempt-20260918T045103941126-52671-2/artifact.json,20260918T045103941126-52671-2,
repair,smoke,already_correct,smoke_dev,smoke,c,1,already_satisfied,already_satisfied,complete,already-satisfied,,False,PASS,,0,1,1,0,39,,1,0,0,0,7,search,7,0,3,True,dc7a521a38353497013a4048d9578d8602bbe2b396fc9c0a009dcf18796f9a18,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2-lifecycle/results/batches/smoke-lifecycle/raw/already_correct__smoke__c__r1__ca6393adbf24640c92e994bf/attempt-20260918T045103954341-52671-3/artifact.json,20260918T045103954341-52671-3,
repair,smoke,budget_truncated,smoke_dev,smoke,a,1,budget_exhausted,budget_exhausted,complete,candidate-budget,,False,FAIL,,1,2,2,0,4140,,2,0,0,1,104,search,104,0,147,True,b0820de07d0efc67982ece5e318c650998142cee89796c849a1eb65886ddd0d7,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2-lifecycle/results/batches/smoke-lifecycle/raw/budget_truncated__smoke__a__r1__514a5ac7e3f4ea6124cf0834/attempt-20260918T045107791149-52671-22/artifact.json,20260918T045107791149-52671-22,
repair,smoke,budget_truncated,smoke_dev,smoke,b,1,budget_exhausted,budget_exhausted,complete,candidate-budget,,False,FAIL,,1,2,2,0,4140,,2,0,0,1,102,search,102,0,146,True,927d443e53d2b2f73a823af56579f25c31d2668d7c5daa02bc96e278e6874afd,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2-lifecycle/results/batches/smoke-lifecycle/raw/budget_truncated__smoke__b__r1__9f9d531bd830260b60aa42fe/attempt-20260918T045108044527-52671-23/artifact.json,20260918T045108044527-52671-23,
repair,smoke,budget_truncated,smoke_dev,smoke,c,1,budget_exhausted,budget_exhausted,complete,candidate-budget,,False,FAIL,,1,2,2,0,4140,,2,0,0,1,106,search,106,0,146,True,6ccf18dadacde88c7918f3fc8397590f6cb433dd8ef80402bd2761ac10c8fcc6,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2-lifecycle/results/batches/smoke-lifecycle/raw/budget_truncated__smoke__c__r1__6ceea984684f55df8124e749/attempt-20260918T045108296415-52671-24/artifact.json,20260918T045108296415-52671-24,
repair,smoke,cross_module_two_cycles,smoke_dev,smoke,a,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,,4,5,5,0,9927,,5,0,0,1,227,search,227,0,272,True,edecf1fc00b3ce1b97605392df3ac1f118c8b779ed4848a9dc865490c3139fb4,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2-lifecycle/results/batches/smoke-lifecycle/raw/cross_module_two_cycles__smoke__a__r1__c18f36d4c743e1ed0c71a65f/attempt-20260918T045105847212-52671-10/artifact.json,20260918T045105847212-52671-10,
repair,smoke,cross_module_two_cycles,smoke_dev,smoke,b,1,repaired,repaired,complete,solved,,False,FAIL,,7,7,7,1,13445,,7,2,2,0,307,search,307,0,383,True,b3e02b4346266524a9ce9189e597b80ce1145a0ba77b65d7d490387f4c8edebd,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2-lifecycle/results/batches/smoke-lifecycle/raw/cross_module_two_cycles__smoke__b__r1__66ad497813eb8dad80364727/attempt-20260918T045106350120-52671-11/artifact.json,20260918T045106350120-52671-11,
repair,smoke,cross_module_two_cycles,smoke_dev,smoke,c,1,repaired,repaired,complete,solved,,False,FAIL,,5,6,6,0,11610,,6,2,2,0,274,search,274,0,344,True,f4df7e7ac7168b5d85910f47d237edaf81ca5a8dacd75958533cfd551bc03da8,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2-lifecycle/results/batches/smoke-lifecycle/raw/cross_module_two_cycles__smoke__c__r1__0c099f4517be5364f1e63918/attempt-20260918T045107043536-52671-12/artifact.json,20260918T045107043536-52671-12,
repair,smoke,forbidden_scope,smoke_dev,smoke,a,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,,0,1,1,0,49,,1,0,0,1,8,search,8,0,3,True,44a26dbe653c205950b6deec6d6f94167252e66572665c0652875c96c08f4b63,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2-lifecycle/results/batches/smoke-lifecycle/raw/forbidden_scope__smoke__a__r1__221035d6960ef746a1de1705/attempt-20260918T045107665033-52671-13/artifact.json,20260918T045107665033-52671-13,
repair,smoke,forbidden_scope,smoke_dev,smoke,b,1,no_acceptable_candidate,no_acceptable_candidate,complete,no-acceptable-candidate,,False,FAIL,,0,1,1,0,49,,1,0,0,1,7,search,7,0,3,True,af323bb1e1f0e3f73d627c2ef73a795b727b833d69bf3915decea796541e1d72,/Users/kevin/local-repos/ConcIR/experiments/pilot-v2-lifecycle/results/batches/smoke-lifecycle/raw/forbidden_scope__smoke__b__r1__07cecdf59120c39e21acdbd9/attempt-20260918T045107679134-52671-14/artifact.json,20260918T045107679134-52671-14,
