model,requested_model,provider,transport,arm,task,tier,replicate,status,cir_accepted,code_accepted,accepted,accepted_with_proof,first_cir_pass_round,first_code_accept_round,cir_repairs,code_repairs,first_accept_total_candidate_rounds,calls,input_tokens,output_tokens,total_tokens,latency_ms,error
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,atomic-data/atomic_lost_update,Medium,0,accepted,True,True,True,False,2,1,1,0,3,3,6327,1386,7713,5585,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,atomic-data/atomic_lost_update,Medium,1,accepted,True,True,True,False,2,1,1,0,3,3,6299,1358,7657,4931,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,atomic-data/atomic_lost_update,Medium,2,accepted,True,True,True,False,2,1,1,0,3,3,6327,1386,7713,5155,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,atomic-data/bounded_counter_invariant,Simple,0,generation_failed,True,False,False,False,1,,0,,1,4,7036,1266,8302,4983,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,atomic-data/bounded_counter_invariant,Simple,1,generation_failed,True,False,False,False,1,,0,,1,4,7036,1188,8224,6051,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,atomic-data/bounded_counter_invariant,Simple,2,generation_failed,True,False,False,False,1,,0,,1,4,7044,1188,8232,5416,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,atomic-data/counter_overflow_safety,Simple,0,generation_failed,True,False,False,False,1,,0,,1,4,7059,1281,8340,5246,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,atomic-data/counter_overflow_safety,Simple,1,generation_failed,False,False,False,False,,,,,,4,11998,3344,15342,10112,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,atomic-data/counter_overflow_safety,Simple,2,generation_failed,True,False,False,False,1,,0,,1,4,7075,1307,8382,6167,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,channel/bounded_backpressure_lock_held,Medium,0,accepted,True,True,True,False,2,1,1,0,3,3,6897,2348,9245,7549,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,channel/bounded_backpressure_lock_held,Medium,1,accepted,True,True,True,False,1,1,0,0,2,2,3846,1333,5179,4407,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,channel/bounded_backpressure_lock_held,Medium,2,generation_failed,False,False,False,False,,,,,,4,11378,3932,15310,11156,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,channel/rendezvous_both_send,Simple,0,accepted,True,True,True,False,2,1,1,0,3,3,5763,1226,6989,5205,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,channel/rendezvous_both_send,Simple,1,accepted,True,True,True,False,2,1,1,0,3,3,5980,1429,7409,5298,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,channel/rendezvous_both_send,Simple,2,accepted,True,True,True,False,2,1,1,0,3,3,5980,1429,7409,5262,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,channel/send_while_holding_mutex,Simple,0,generation_failed,True,False,False,False,2,,1,,2,5,11064,2611,13675,10029,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,channel/send_while_holding_mutex,Simple,1,generation_failed,True,False,False,False,3,,2,,3,6,14479,3547,18026,11896,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,channel/send_while_holding_mutex,Simple,2,generation_failed,True,False,False,False,4,,3,,4,7,16536,3774,20310,12583,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,condvar/bare_wait_no_predicate,Complex,0,generation_failed,False,False,False,False,,,,,,4,11807,2284,14091,7537,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,condvar/bare_wait_no_predicate,Complex,1,generation_failed,False,False,False,False,,,,,,4,11807,2284,14091,8104,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,condvar/bare_wait_no_predicate,Complex,2,generation_failed,False,False,False,False,,,,,,4,11807,2284,14091,7697,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,condvar/lost_wakeup_notify_before_wait,Complex,0,generation_failed,False,False,False,False,,,,,,4,11843,2288,14131,7468,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,condvar/lost_wakeup_notify_before_wait,Complex,1,generation_failed,False,False,False,False,,,,,,4,11843,2288,14131,7553,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,condvar/lost_wakeup_notify_before_wait,Complex,2,generation_failed,False,False,False,False,,,,,,4,12127,2551,14678,8716,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,condvar/notify_one_multi_waiter_wrong_pick,Complex,0,generation_failed,False,False,False,False,,,,,,4,12661,2828,15489,9472,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,condvar/notify_one_multi_waiter_wrong_pick,Complex,1,generation_failed,False,False,False,False,,,,,,4,12661,2828,15489,9309,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,condvar/notify_one_multi_waiter_wrong_pick,Complex,2,generation_failed,False,False,False,False,,,,,,4,12673,2844,15517,8873,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,condvar/same_cv_different_locks,Complex,0,unsupported,False,False,False,False,,,,,,3,8615,2803,11418,8126,
DeepSeek Flash,deepseek-flash,deepseek,deepseek-direct,G3,condvar/same_cv_different_locks,Complex,1,unsupported,False,False,False,False,,,,,,1,1869,1003,2872,3227,
